Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
消息设置,3955,167,152,209,258,405,92,4714,0.00%,0.2887,10.36,0.4
获取交易信息,3955,58,52,74,87,237,25,4509,50.62%,0.28871,0.32,0.2
设置交易信息,3955,92,84,116,132,290,43,4711,0.00%,0.28871,0.12,0.25
交易设置,3955,150,137,186,220,368,76,4784,50.62%,0.2887,0.44,0.44
获取会员设置信息,3955,57,51,73,85,184,25,4320,51.73%,0.28873,0.32,0.2
设置会员信息,3955,92,82,115,133,298,38,4638,0.00%,0.28873,0.12,0.2
会员设置,3955,150,135,184,223,376,77,4670,51.73%,0.28873,0.43,0.4
获取支付方式信息,3955,55,51,74,84,186,25,310,52.52%,0.28871,0.32,0.2
设置支付方式,3955,91,82,115,132,284,41,4616,0.00%,0.28871,0.12,0.2
支付方式,3955,146,134,183,214,355,81,4682,52.52%,0.2887,0.43,0.4
获取提现信息,3955,57,50,73,86,250,23,4602,53.22%,0.28871,0.31,0.2
设置提现,3955,98,87,121,140,300,44,4653,0.00%,0.28871,0.12,0.86
提现设置,3955,155,139,189,232,384,86,4774,53.22%,0.2887,0.43,1.05
订单查询--列表,3955,308,252,345,420,612,165,21464,0.03%,0.2887,22.6,0.34
查看发货信息,3955,114,93,130,154,318,2,20896,0.03%,0.28871,2.36,0.2
查看订单详情,3955,113,90,127,156,318,2,18117,0.05%,0.28871,2.36,0.2
订单查询,3955,536,442,611,702,1112,220,21858,0.05%,0.2887,27.31,0.74
发货管理--订单发货--列表,3955,142,118,165,200,352,2,17733,0.03%,0.2887,6.8,0.36
发货管理--售后发货--列表,3955,89,72,104,130,287,42,9019,0.00%,0.28873,7.18,0.38
发货管理--售后发货--查看,3955,100,83,116,140,311,51,16681,0.00%,0.28873,2.77,0.2
发货管理--订单发货--查看,3955,114,91,128,151,323,53,21279,0.00%,0.28873,2.51,0.2
发货管理,3955,446,373,520,609,1136,265,21747,0.03%,0.2887,19.25,1.14
售后管理--列表,3955,244,219,296,358,520,142,18317,0.00%,0.2887,15.91,0.28
售后发货--查看,3955,106,93,131,151,313,58,12060,0.00%,0.28871,1.98,0.2
