Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
205 /bp/static/js/chunk-4db3.f2e42ad9.js,3850,13,8,25,39,78,2,1027,0.00%,0.28878,4.38,0.12
206 /api-decoration-web/decoration/api.do,3850,74,65,93,108,259,39,4638,0.00%,0.28877,0.39,0.31
评价1,3850,3118,2986,3949,4340,5534,1904,8422,0.00%,0.28872,6.06,1.74
541 /api-behavior-web/behavior/api.do,3850,1458,1389,1883,2069,2677,822,5959,0.00%,0.28875,0.12,0.33
536 /bp/static/css/chunk-1a68.3ba4bc3f.css,3850,20,10,34,47,97,2,4664,0.00%,0.2888,0.39,0.12
537 /bp/static/js/chunk-1a68.e26375e8.js,3850,16,10,33,46,92,3,1045,0.00%,0.2888,3.8,0.12
540 /matrix-admin/matrix/api.do,3850,59,54,76,88,161,30,4545,0.00%,0.2888,0.52,0.28
539 /matrix-admin/matrix/api.do,3850,56,51,72,83,198,28,4337,0.00%,0.2888,0.59,0.28
505 /api-behavior-web/behavior/api.do,3850,1445,1384,1857,2047,2589,779,6168,0.00%,0.28878,0.12,0.33
542 /matrix-admin/matrix/api.do,3850,60,55,81,95,183,26,1053,0.00%,0.2888,0.51,0.28
渠道转化1,3850,240,217,312,389,558,139,4740,0.00%,0.2888,4.05,1.18
493 /bp/static/css/chunk-4fa4.f97aecf9.css,3850,11,6,23,34,66,2,1007,0.00%,0.2888,0.4,0.12
494 /bp/static/js/chunk-4fa4.edf6307e.js,3850,13,7,25,36,66,2,4222,0.00%,0.2888,2.87,0.12
495 /api-behavior-web/behavior/api.do,3850,81,71,106,126,262,43,4562,0.00%,0.2888,0.13,0.33
497 /api-behavior-web/behavior/api.do,3850,78,70,106,126,224,42,1107,0.00%,0.28878,0.13,0.33
496 /matrix-admin/matrix/api.do,3850,55,51,72,83,160,29,357,0.00%,0.28878,0.52,0.28
发货管理1,3850,291,257,353,428,622,176,12196,0.05%,0.28877,22.93,1.1
350 /bp/static/css/chunk-242f.363d2ac2.css,3850,14,7,21,30,58,3,7485,0.00%,0.28878,2,0.12
351 /bp/static/js/chunk-242f.6bfc9d27.js,3850,19,13,38,50,105,4,1213,0.00%,0.28878,7.3,0.11
352 /api-order-web/order/api.do,3850,129,115,156,179,322,75,11265,0.03%,0.28878,6.81,0.43
353 /api-order-web/order/api.do,3850,127,115,154,173,302,10,11761,0.03%,0.2888,6.81,0.43
总体,2095666,2683,72,392,1324,18471,1,307670,4.15%,146.57906,13908.83,170.08
